menu_week_start,scraped_at,id,core_recipe_id,name,portion_weight_g,kcal_per_portion,protein_g_per_portion,fat_g_per_portion,fat_saturates_g_per_portion,carbs_g_per_portion,sugars_g_per_portion,fibre_g_per_portion,salt_g_per_portion,kcal_per_100g,protein_g_per_100g,fat_g_per_100g,fat_saturates_g_per_100g,carbs_g_per_100g,sugars_g_per_100g,fibre_g_per_100g,salt_g_per_100g,five_a_day,prep_time_min,preparation_type,spice_level,food_brand,dietary_claims,rating_avg,rating_count,is_available
2026-06-02,2026-05-27,094c1a51-a94a-4c1a-a22f-2d60cef2429a,8838,2 Meals: Sweet Sesame Chicken & Rice x Gochujang Chicken Noodles,695,1219,77.8,44.2,10.4,128.8,16.6,6.2,5.86,175,11.2,6.3,1.5,18.5,2.4,0.9,0.84,3,40,full-prep,spicy,Batch Cooking,Dairy Free,4.01,90,True
2026-06-02,2026-05-27,5b4d9d96-7753-4e07-a7f6-f092862ee552,2645,Aged Sirloin Steak With Truffled Mushroom Sauce & Fries,551,770,51.6,44.1,20.0,44.4,4.5,7.2,1.0,139,9.4,8.0,3.6,8.1,0.8,1.3,0.18,1,40,full-prep,no spice,Fine Dine In,Gluten Free,4.51,662,True
2026-06-02,2026-05-27,ba87a8c0-7a14-41a6-94db-414eb07582a5,5304,All In One Halloumi Souvlaki-Style Salad,538,517,29.0,25.4,16.7,46.7,16.9,8.3,2.41,96,5.4,4.7,3.1,8.7,3.1,1.5,0.45,3,45,full-prep,no spice,Prepped in 5,Vegetarian; Gluten Free,4.31,9288,True
2026-06-02,2026-05-27,fc05aeaa-9f68-4992-9fef-30e435cfa9e6,2651,Alpine-Style Cheesy Bacon & Potato Gratin,416,424,15.4,19.3,11.6,48.4,7.5,6.5,1.15,101,3.7,4.6,2.8,11.6,1.8,1.6,0.28,1,55,full-prep,no spice,Modern Bistro,Gluten Free,4.43,12880,True
2026-06-02,2026-05-27,23b1621d-4e30-452c-b2eb-d6841507cc37,1246,Asparagus & Flaked Almond Risotto,321,426,15.3,8.9,2.9,69.4,7.1,6.0,1.47,132,4.8,2.8,0.9,21.6,2.2,1.9,0.46,2,50,full-prep,no spice,Modern Bistro,Vegetarian; Gluten Free,4.38,4311,True
2026-06-02,2026-05-27,5f0f2ff5-d192-4e93-aee1-9caa8049af22,7144,Bacon & Cheese Toastie With Herby Fries,469,803,34.8,38.0,16.6,82.0,13.1,6.4,2.91,171,7.4,8.1,3.5,17.5,2.8,1.4,0.62,1,35,full-prep,no spice,Modern Bistro,,4.42,2472,False
2026-06-02,2026-05-27,b3cb3b8c-6974-4ed5-b18c-6d34a3ffb5b0,6856,Bacon & Cherry Tomato Sauce With Fresh Orecchiette,326,559,27.3,14.7,6.6,78.8,6.5,4.7,2.71,171,8.4,4.5,2.0,24.2,2.0,1.4,0.83,1,10,full-prep,no spice,Pasta Pronto,,4.45,4716,False
2026-06-02,2026-05-27,aacd7c6d-9f90-4c5b-a1e9-05febc6300c4,2892,Bacon & Creamy Tomato Aubergine Gnocchi Bake,550,565,27.5,20.8,10.7,68.2,11.0,7.5,2.98,102,5.0,3.8,1.9,12.4,2.0,1.4,0.54,4,45,full-prep,no spice,Modern Bistro,,4.18,2240,False
2026-06-02,2026-05-27,a60c2201-0226-48ae-a39f-eac155bb9e66,5388,Bacon Risotto With Zesty Tenderstem Broccoli,360,564,24.9,20.7,10.7,69.1,6.6,5.1,2.85,156,6.9,5.8,3.0,19.2,1.8,1.4,0.79,2,45,full-prep,no spice,Modern Bistro,Gluten Free,4.18,2050,False
2026-06-02,2026-05-27,84f16a44-43f8-4c85-9792-3d28014a46b7,16533,Baked Cantonese-Style Soy Double Salmon With Rice,,794,53.0,36.6,,60.5,,,2.89,,,,,,,,,2,45,full-prep,spicy,Prepped in 5,Dairy Free,0,0,True
2026-06-02,2026-05-27,f86bb270-beb5-42bc-943c-c4bd52ef546a,6428,Bangin' BBQ Chicken Breast And Spicy Sweetcorn Fritters,361,514,37.3,32.2,6.4,20.0,9.1,4.1,0.98,142,10.3,8.9,1.8,5.5,2.5,1.1,0.27,2,35,full-prep,mild,Modern Bistro,Gluten Free,4.32,415,True
2026-06-02,2026-05-27,21a20acf-171a-4889-b053-a9ddb76d1428,8226,BBQ Cheesy Double Chicken With Sweet Potato Ranch Salad,612,734,63.3,29.1,9.5,57.7,21.9,7.0,1.4,120,10.3,4.8,1.6,9.4,3.6,1.1,0.23,3,25,full-prep,no spice,Protein Hit,,4.26,213,True
2026-06-02,2026-05-27,7211769b-9c8b-4302-bf8f-206824f0de46,6319,BBQ Pulled Pork Mac 'N' Cheese With Corn & Mustard Salad,464,893,55.3,37.8,17.7,86.5,12.1,5.8,2.49,192,11.9,8.2,3.8,18.6,2.6,1.3,0.54,1,45,full-prep,mild,Gastropub,,4.35,3744,True
2026-06-02,2026-05-27,2b922b13-92ab-4401-93c4-97fb496e2a84,14512,Beef Spaghetti Bolognese,,738,42.5,25.1,,84.7,,,2.09,,,,,,,,,3,30,full-prep,no spice,Everyday Favourites,,4.66,491,True
2026-06-02,2026-05-27,dcd8a21c-7236-4c45-9baa-2130ccedb612,3036,Breaded Chicken With Tomato & Basil Sauce,534,401,38.3,7.7,1.9,46.0,8.1,6.2,0.62,75,7.2,1.4,0.4,8.6,1.5,1.2,0.12,2,40,full-prep,no spice,Modern Bistro,Dairy Free,4.33,19867,True
2026-06-02,2026-05-27,704ae8b4-6228-414c-895f-d822fdd50dae,14989,Buffalo Chicken Thigh Shawarma Kebab,,690,39.6,35.9,,53.0,,,1.21,,,,,,,,,2,30,full-prep,spicy,Classic Fakeaways,Dairy Free,0,0,True
2026-06-02,2026-05-27,bc4f4e1c-47fe-4db6-93ee-b6b4cf95d365,15007,Buffalo Halloumi Shawarma Kebab,,632,30.7,33.9,,52.2,,,2.94,,,,,,,,,2,25,full-prep,spicy,Classic Fakeaways,Vegetarian,0,0,True
2026-06-02,2026-05-27,d9b67461-4193-4e2f-a662-df429691c2be,6897,Butter Chicken Thigh & Cannellini Bean Curry,501,712,40.1,23.2,11.7,80.9,10.1,14.6,2.08,142,8.0,4.6,2.3,16.1,2.0,2.9,0.41,4,40,full-prep,mild,Prepped in 5,Gluten Free; Dairy Free,4.36,1865,True
2026-06-02,2026-05-27,290beaec-c965-4035-82cd-9a77b4227b13,7441,Butternut Squash Mac & Cheese With Buttery Sage Crumb,300,561,29.2,17.4,10.1,76.1,7.3,7.7,1.56,187,9.7,5.8,3.4,25.4,2.5,2.6,0.52,2,35,full-prep,no spice,Family Kitchen,Vegetarian,4.16,3595,True
2026-06-02,2026-05-27,a3b574f4-01c3-4090-894b-cd535f6e0eb2,5112,Caribbean-Style Chicken Thigh With Sweet Potato Mash,537,547,36.2,16.0,4.3,67.7,21.1,6.3,0.66,101,6.7,3.0,0.8,12.6,3.9,1.2,0.12,3,35,full-prep,spicy,Global Kitchen,Dairy Free,4.24,1726,True
