week,slot_number,recipe_nk,recipe_title,total_kcal,total_grammage,kcal_net_pantry,grammage_net_pantry
2026-W19,1,8d0a7446-dc40-4af5-a355-c762b47cb625,Quick Butter Chicken Masala,741.395793499044,581,634.885793499044,566.78
2026-W19,2,61c06433-dd35-4a7b-b4c1-41dea0d8e5b6,"Hoisin Beef, Pork and Mixed Veg Stir-Fry",708.4130019120458,352.5,708.4130019120458,352.5
2026-W19,3,de4f4055-d0c3-4fd7-9e92-71978b456af3,Banging Bangers and Garlic Mash,553.7762906309752,694,553.7762906309752,694
2026-W19,4,00a9cfe9-6082-46fc-9383-29ff7a3855eb,Teriyaki Sesame Glazed Chicken Thighs,674.9521988527724,607.5,674.9521988527724,607.5
2026-W19,5,d5870697-9a5d-452c-b3ad-18f722264773,Spiced Pork Pilaf and Mango Chutney,888.3843212237093,673.5,812.8143212237094,662.5
2026-W19,6,e14d5a48-c1fa-4940-ae49-572733794aa0,Sticky Sweet Chilli Halloumi Burger,1132.17017208413,701.5,1062.5501720841298,693.06
2026-W19,7,1ebae16d-67f3-4401-a377-3483dd60864b,Toss in the Teriyaki Chicken Tacos,759.321223709369,585.9,689.701223709369,577.4599999999999
2026-W19,8,52aa25b7-be76-4870-ab99-7ab7ecbfab01,Family Favourite Peanut Butternut Coconut Curry,857.0745697896749,812.5,857.0745697896749,812.5
2026-W19,9,c317bcda-b993-43f9-a968-ef86c13366a9,Indonesian Inspired Pork Skewers in Sambal Sauce,820.9847036328872,551.5,677.8747036328872,532.79
2026-W19,10,7c739cb6-93f9-400a-abb4-8e06e4d92db2,Ayam Goreng Style Fried Chicken,853.2504780114723,585.6,769.0704780114722,573.16
2026-W19,11,018cb833-e662-4cea-a376-984bf4dc53ea,Cơm Tấm Inspired Sweet Spiced Pork and Jasmine Rice,550.6692160611855,630,542.9292160611855,628
2026-W19,12,f311f158-18ae-4760-95d9-6c583987dc68,Lemongrass and Sambal Beef Larb Style Salad,592.4952198852773,483,526.7452198852773,475.56
2026-W19,13,71be17d3-c253-402a-813a-0382b5a2a8b0,"Warming Ginger, Cauliflower and Coconut Bowl",616.8738049713193,554.5,609.1338049713193,552.5
2026-W19,14,e6715e33-ab00-4e32-a90b-62b63bb939ed,Vietnamese Cà Ri Chay Inspired Butternut Noodles,637.4282982791586,709.8,637.4282982791586,709.8
2026-W19,15,48bad7c7-7af5-4b9f-abd3-076029a2bf0f,Sausage and Purple Sprouting Broccoli Tart,1332.4569789674952,581.4,1255.0969789674953,570.9599999999999
2026-W19,16,a4b6f947-67dc-48ef-b866-fcdef6a4e0dc,Persian Khoresh Rivas Style Lamb and Rhubarb Stew,695.5066921606118,464.7,590.0366921606118,451.26
2026-W19,17,7069d2af-f434-476b-ac58-69b966ac0fad,Thai Red Coconut Beef Meatball Curry,779.6367112810707,766.8,775.7667112810707,764.9699999999999
2026-W19,18,2dd0a3aa-eed3-40bc-aefa-fa6f135768c5,Peri Peri Chicken and Aioli Ciabatta Sandwich,1072.8967495219886,663.3,1003.2767495219886,654.8599999999999
2026-W19,19,1c21088c-ffd0-4997-9f17-03a498c99f3f,Purple Sprouting Broccoli & Spiced Butter Bean Bowl,682.8393881453154,602.8,613.2193881453154,594.3599999999999
2026-W19,20,204658b0-e707-4f5a-a273-eadbe6c59a18,"Spring Veg, Chickpea and Pickled Rhubarb Salad",819.0726577437858,687,679.8326577437858,670.12
2026-W19,21,50ab2b13-588f-45e8-881d-d80a24ea6bb2,Chả Cá Thăng Long Inspired Salmon,775.5736137667303,464.2,589.9336137667303,444.88
2026-W19,22,e3647e06-f193-4fc3-afdd-cb95bafa5436,Lemon and Herb Barramundi in Garlic Butter,547.3231357552581,633.3,443.75313575525814,618.8599999999999
2026-W19,23,aefa659d-484c-43c7-9c74-05a0171099e8,Fragrant Teriyaki Prawn Stir-Fry,442.6386233269598,390,380.7586233269598,383.56
2026-W19,24,1deb5100-3d5b-4d89-b199-dd36faef0353,Smoky Spiced King Prawn Spaghetti,593.6902485659656,473.8,550.1002485659656,466.8
2026-W19,25,be9c0092-0f4a-47f8-b8b9-6ec8cb8ecc58,Handmade Spiced Fish Cakes,766.9694072657743,640,674.1494072657742,629.6700000000001
2026-W19,26,7c33d8e3-0b78-4c5e-a65b-976412b64ee2,Scrub a Dub Beef Cottage Pie and Cheesy Mash,659.1778202676863,791.3,651.4378202676863,789.3
2026-W19,27,9515d61f-9bb7-4347-b507-f2e12f41c1a0,Super Quick Lemongrass Chicken Noodles,505.019120458891,387.5,505.019120458891,387.5
2026-W19,28,ecad0061-d709-4c17-b497-e1ffb0b66789,15 Minute Coronation Chicken,708.6520076481835,401.3,636.9520076481834,391.3
2026-W19,29,6b0b2b9e-67f1-43f3-85ee-48b586c6eb17,Super Quick Chermoula Spiced Beef and Couscous,722.9923518164436,518,651.2923518164436,508
